character,movie,time
Seamus Finnigan</a,Philosopher's/Sorcerer's Stone,105
Seamus Finnigan</a,Chamber of Secrets,60
Seamus Finnigan</a,Prisoner of Azkaban,105
Seamus Finnigan</a,Goblet of Fire,90
Seamus Finnigan</a,Order of the Phoenix,105
Seamus Finnigan</a,Half-Blood Prince,30
Seamus Finnigan</a,"Deathly Hallows, Part I",15
Seamus Finnigan</a,"Deathly Hallows, Part II",75
Fat Lady in Painting</a,Philosopher's/Sorcerer's Stone,15
Fat Lady in Painting</a,Chamber of Secrets,0
Fat Lady in Painting</a,Prisoner of Azkaban,45
Fat Lady in Painting</a,Goblet of Fire,0
Fat Lady in Painting</a,Order of the Phoenix,0
Fat Lady in Painting</a,Half-Blood Prince,0
Fat Lady in Painting</a,"Deathly Hallows, Part I",0
Fat Lady in Painting</a,"Deathly Hallows, Part II",0
The Sorting Hat</a,Philosopher's/Sorcerer's Stone,120
The Sorting Hat</a,Chamber of Secrets,45
The Sorting Hat</a,Prisoner of Azkaban,0
The Sorting Hat</a,Goblet of Fire,0
The Sorting Hat</a,Order of the Phoenix,0
The Sorting Hat</a,Half-Blood Prince,0
The Sorting Hat</a,"Deathly Hallows, Part I",15
The Sorting Hat</a,"Deathly Hallows, Part II",15
Madame Hooch</a,Philosopher's/Sorcerer's Stone,105
Madame Hooch</a,Chamber of Secrets,0
Madame Hooch</a,Prisoner of Azkaban,0
Madame Hooch</a,Goblet of Fire,0
Madame Hooch</a,Order of the Phoenix,0
Madame Hooch</a,Half-Blood Prince,0
Madame Hooch</a,"Deathly Hallows, Part I",0
Madame Hooch</a,"Deathly Hallows, Part II",0
Helena Ravenclaw</a,Philosopher's/Sorcerer's Stone,0
Helena Ravenclaw</a,Chamber of Secrets,0
Helena Ravenclaw</a,Prisoner of Azkaban,0
Helena Ravenclaw</a,Goblet of Fire,0
Helena Ravenclaw</a,Order of the Phoenix,0
Helena Ravenclaw</a,Half-Blood Prince,0
Helena Ravenclaw</a,"Deathly Hallows, Part I",135
Helena Ravenclaw</a,"Deathly Hallows, Part II",135
Peter Pettigrew</a,Philosopher's/Sorcerer's Stone,15
Peter Pettigrew</a,Chamber of Secrets,30
Peter Pettigrew</a,Prisoner of Azkaban,150
Peter Pettigrew</a,Goblet of Fire,210
Peter Pettigrew</a,Order of the Phoenix,0
Peter Pettigrew</a,Half-Blood Prince,15
Peter Pettigrew</a,"Deathly Hallows, Part I",60
Peter Pettigrew</a,"Deathly Hallows, Part II",15
Draco Malfoy</a,Philosopher's/Sorcerer's Stone,255
Draco Malfoy</a,Chamber of Secrets,420
Draco Malfoy</a,Prisoner of Azkaban,240
Draco Malfoy</a,Goblet of Fire,120
Draco Malfoy</a,Order of the Phoenix,75
Draco Malfoy</a,Half-Blood Prince,495
Draco Malfoy</a,"Deathly Hallows, Part I",135
Draco Malfoy</a,"Deathly Hallows, Part II",150
Luna Lovegood</a,Philosopher's/Sorcerer's Stone,0
Luna Lovegood</a,Chamber of Secrets,0
Luna Lovegood</a,Prisoner of Azkaban,0
Luna Lovegood</a,Goblet of Fire,0
Luna Lovegood</a,Order of the Phoenix,555
Luna Lovegood</a,Half-Blood Prince,195
Luna Lovegood</a,"Deathly Hallows, Part I",150
Luna Lovegood</a,"Deathly Hallows, Part II",135
Percy Weasley</a,Philosopher's/Sorcerer's Stone,105
Percy Weasley</a,Chamber of Secrets,90
Percy Weasley</a,Prisoner of Azkaban,45
Percy Weasley</a,Goblet of Fire,0
Percy Weasley</a,Order of the Phoenix,30
Percy Weasley</a,Half-Blood Prince,0
Percy Weasley</a,"Deathly Hallows, Part I",30
Percy Weasley</a,"Deathly Hallows, Part II",30
Alecto Carrow</a,Philosopher's/Sorcerer's Stone,0
Alecto Carrow</a,Chamber of Secrets,0
Alecto Carrow</a,Prisoner of Azkaban,0
Alecto Carrow</a,Goblet of Fire,0
Alecto Carrow</a,Order of the Phoenix,0
Alecto Carrow</a,Half-Blood Prince,45
Alecto Carrow</a,"Deathly Hallows, Part I",15
Alecto Carrow</a,"Deathly Hallows, Part II",60
