date,time,session_min
2017,23:24:36-05:00,1
2017,23:27:26-05:00,10
2017,23:41:20-05:00,5
2017,09:20:05-05:00,7
2017,09:50:57-05:00,3
2017,10:16:00-05:00,2
2017,12:34:16-05:00,1
2017,14:50:49-05:00,107
2017,16:45:02-05:00,1
2017,17:36:18-05:00,3
2017,17:41:21-05:00,1
2017,17:49:31-05:00,1
2017,18:14:38-05:00,1
2017,18:17:25-05:00,9
2017,18:34:18-05:00,3
2017,18:48:31-05:00,6
2017,19:03:23-05:00,6
2017,19:18:50-05:00,14
2017,19:52:39-05:00,3
2017,19:58:30-05:00,10
2017,20:19:08-05:00,11
2017,20:33:30-05:00,6
2017,20:45:10-05:00,8
2017,21:00:24-05:00,18
2017,21:39:09-05:00,1
2017,22:25:34-05:00,1
2017,22:32:23-05:00,2
2017,23:24:44-05:00,19
2017,23:44:53-05:00,1
2017,23:47:10-05:00,1
2017,00:03:58-05:00,40
2017,00:57:42-05:00,14
2017,01:18:38-05:00,13
2017,01:38:18-05:00,3
2017,01:44:16-05:00,6
2017,01:52:19-05:00,1
2017,01:56:48-05:00,2
2017,08:58:31-05:00,3
2017,09:20:25-05:00,3
2017,09:59:30-05:00,2
2017,10:07:07-05:00,10
2017,12:21:54-05:00,1
2017,12:45:38-05:00,1
2017,12:47:57-05:00,1
2017,13:00:25-05:00,1
2017,13:44:56-05:00,4
2017,15:38:18-05:00,2
2017,15:51:34-05:00,2
2017,16:04:11-05:00,1
2017,16:11:45-05:00,1
2017,16:32:02-05:00,1
2017,16:45:27-05:00,3
2017,17:45:10-05:00,3
2017,17:57:25-05:00,1
2017,18:49:36-05:00,2
2017,19:23:12-05:00,5
2017,21:04:57-05:00,3
2017,21:10:47-05:00,12
2017,21:24:59-05:00,5
2017,21:33:52-05:00,2
2017,21:37:53-05:00,10
2017,23:50:00-05:00,1
2017,00:31:59-05:00,25
2017,01:39:50-05:00,7
2017,04:12:00-05:00,22
2017,08:42:01-05:00,13
2017,09:12:43-05:00,18
2017,12:33:24-05:00,1
2017,12:35:58-05:00,22
2017,13:08:05-05:00,1
2017,13:40:28-05:00,4
2017,13:46:39-05:00,3
2017,13:50:41-05:00,2
2017,13:59:19-05:00,2
2017,14:07:33-05:00,3
2017,14:11:57-05:00,4
2017,14:20:02-05:00,26
2017,15:01:18-05:00,2
2017,15:05:15-05:00,2
2017,15:14:18-05:00,34
2017,15:51:40-05:00,12
2017,18:58:40-05:00,2
2017,19:16:20-05:00,10
2017,19:27:47-05:00,2
2017,19:30:52-05:00,3
2017,19:43:01-05:00,1
2017,19:48:54-05:00,4
2017,20:02:18-05:00,1
2017,20:18:02-05:00,1
2017,20:48:27-05:00,2
2017,21:31:12-05:00,1
2017,21:47:22-05:00,1
2017,22:05:40-05:00,1
2017,22:12:09-05:00,1
2017,22:25:43-05:00,1
2017,22:29:06-05:00,15
2017,23:00:27-05:00,1
2017,23:30:11-05:00,4
2017,23:37:43-05:00,1
2017,23:51:52-05:00,5
2017,08:30:03-05:00,1
2017,09:09:27-05:00,1
2017,09:27:50-05:00,1
2017,09:39:51-05:00,3
2017,11:37:47-05:00,1
2017,11:41:54-05:00,23
2017,14:29:32-05:00,2
2017,14:48:44-05:00,1
2017,14:53:40-05:00,1
2017,15:02:24-05:00,2
2017,15:09:50-05:00,6
2017,16:14:58-05:00,11
2017,17:55:34-05:00,9
2017,18:26:33-05:00,2
2017,18:36:23-05:00,8
2017,18:55:02-05:00,1
2017,19:10:13-05:00,1
2017,19:18:20-05:00,1
2017,19:23:58-05:00,2
2017,19:28:09-05:00,1
2017,19:35:03-05:00,4
2017,19:41:11-05:00,2
2017,19:46:34-05:00,8
2017,19:57:26-05:00,2
2017,20:01:15-05:00,3
2017,20:06:24-05:00,8
2017,20:18:09-05:00,2
2017,22:54:48-05:00,1
2017,00:30:07-05:00,6
2017,00:40:16-05:00,1
2017,00:42:35-05:00,3
2017,00:49:08-05:00,1
2017,01:37:11-05:00,2
2017,01:41:37-05:00,1
2017,01:47:24-05:00,3
2017,02:04:03-05:00,30
2017,11:23:47-05:00,1
2017,11:37:11-05:00,6
2017,11:51:06-05:00,2
2017,12:11:59-05:00,2
2017,12:38:50-05:00,3
2017,15:03:18-05:00,3
2017,15:22:56-05:00,3
2017,17:04:31-05:00,1
2017,17:21:17-05:00,50
2017,18:14:12-05:00,65
2017,19:20:46-05:00,19
2017,19:46:46-05:00,1
2017,19:54:51-05:00,11
2017,20:09:41-05:00,5
2017,20:27:03-05:00,1
2017,20:30:11-05:00,13
2017,22:26:15-05:00,20
2017,23:18:20-05:00,1
2017,02:58:16-05:00,19
2017,11:45:20-05:00,5
2017,12:27:13-05:00,28
2017,13:02:07-05:00,10
2017,13:13:24-05:00,18
2017,13:42:14-05:00,2
2017,13:57:33-05:00,1
2017,14:00:11-05:00,1
2017,14:21:30-05:00,2
2017,14:34:17-05:00,4
2017,14:42:16-05:00,1
2017,15:11:50-05:00,1
2017,16:06:02-05:00,1
2017,16:09:11-05:00,6
2017,16:18:24-05:00,3
2017,16:26:41-05:00,1
2017,16:29:31-05:00,4
2017,16:59:55-05:00,2
2017,17:08:29-05:00,1
2017,17:12:46-05:00,1
2017,17:19:02-05:00,2
2017,17:22:44-05:00,1
2017,17:25:21-05:00,1
2017,17:27:27-05:00,2
2017,18:46:04-05:00,3
2017,18:55:15-05:00,5
2017,19:04:43-05:00,1
2017,19:08:38-05:00,6
2017,19:16:20-05:00,3
2017,19:21:24-05:00,5
2017,19:31:22-05:00,2
2017,19:41:15-05:00,6
2017,19:50:43-05:00,2
2017,20:09:18-05:00,1
2017,20:21:53-05:00,1
2017,20:24:11-05:00,1
2017,20:58:07-05:00,1
2017,21:10:51-05:00,2
